sentence_id	sentence	variant	sentence_domain	source	up_votes	down_votes	status
0036ae1a74d7c68b9f0111c2da86467aabeecaf7e0b98406be0c4b6489325f25	Aşıx Ələsgər başa düşdü ki, ustadı dediyindən əl çəkən döyül.			http://anl.az/el/a/aa_e.pdf	0	2	rejected
008808e6c00091912ad33dc8f9da458a7cdb5f9a8f8593374abe53f32c4b8bc5	Özünüzü tez çatdırsanız, elə məclisi sizə tafşırardılar.			http://anl.az/el/a/aa_e.pdf	0	2	rejected
00c8ef45fa966a34efc014d05f8a8613dc54e50b30b1cdc5d3b9d4602b98a4be	Aşıx Alı dedi:- Paşa sağ olsun, ustadımın mana çox əziyyəti oluf.			http://anl.az/el/a/aa_e.pdf	0	2	rejected
00f249bd61254e67a8a6292883715259e8928abbf9948ddc17ac3743e6d47eb9	eyləməvüsalını hər il yubatdın, ey dil,zülmü yara, çeşmi-çıraq eyləmə.			http://anl.az/el/a/aa_e.pdf	0	2	rejected
00f867a0130fa74f1c960699b8e23b5ae0c5e9436937448827ad0ee1e6fc6278	Belə ki, Ə.			http://anl.az/el/a/aa_e.pdf	0	2	rejected
01085c24b30adb95f4957b092f3b3035d07456a30b3f40916193fee03d46a51d	Hərcayı gözəli məhv olsun tamam,Namusun, qeyrətin, arın görmədim.			http://anl.az/el/a/aa_e.pdf	1	0	pending
013e74c3f714bdc44a8b31b82b65f78682287f4cea77a9dbea476aabd40355df	"""Gər Məhəmməd ümmətisən,Boyun əy, ""Qur'an""a gəl."""			http://anl.az/el/a/aa_e.pdf	1	1	pending
01fd3d736eb760d9cb3530ef78a34e5d7c97e264fa7578759ee1eefdcedb4f29	Buyurun mirzələrəBelə yazsın yazını,Öz-özünə fikr eyləsinXub danışsın sözünü.			http://anl.az/el/a/aa_e.pdf	0	2	rejected
02376a551644c839ac0421086d1c74400074476129c6eba3db51ae813c646ed4	MƏNƏMƏsli-Kərəm çoxlarına misaldı,Əyyub tək sinəsi yaralı mənəm.			http://anl.az/el/a/aa_e.pdf	0	2	rejected
024fd10029d102f7cc62af4f5f7cf40379cdc738076c64272d88209bb4cfc63a	Vaqif ol, haqqın yolunda,Gəl eylə tövbəni mərd.			http://anl.az/el/a/aa_e.pdf	1	0	pending
026a40e02eadc636fe7bc9b38319b0e6a3df4e5059622241a0d1fc696e97e181	Boyda-buxunda Koroğluya ontəpik vurmuşdu.			http://anl.az/el/a/aa_e.pdf	0	1	pending
027500aae93964952dac6563899b9cd403e651e946221715c14cb304cb0e3a1a	Çamırrıynan Qızılvəngin arası yaxınıydı.			http://anl.az/el/a/aa_e.pdf	0	2	rejected
0277ffa0da82e36464829ca4aee693c5dd974b4581c8767eee9b389a598d7691	Aşıx Alı sazını çıxardıf söhbətə başdadı.			http://anl.az/el/a/aa_e.pdf	0	2	rejected
028fa0f2b366765e23be89ec11bde9786f2ed83d234d059330d701d4b9271448	Özü də keçən həftədən mən ona söz vermişəm.			http://anl.az/el/a/aa_e.pdf	1	0	pending
02a39c1bd397eea87a58c71816e3e7228dc943e5112919159bb35f3a815538ce	yetİşdİbu dünyada heç şad olub gülmədim,hər vaxt işim ahu-zara yetişdi.			http://anl.az/el/a/aa_e.pdf	0	1	pending
02a6ce129d6be47dd5148eae80d0a72292d80d174142c4b749f8f3322ae41c31	Aşıx Alı gəldi.			http://anl.az/el/a/aa_e.pdf	1	1	pending
02bab134f5e39700607c7a77eed222c51e1958353c38a0ef491ca620d991b101	On səkkiz şəyirdim var bəylərzada,Səni də onnara qul eylərəm mən.			http://anl.az/el/a/aa_e.pdf	0	1	pending
02d044beb4662394d338c5b02cbfdb7f5254b6fe09c3845524b020a4787570a4	Aşıx Alı duruf, sazını da götürüf Mehdixannan halal-hümmət eliyənnən sonraƏsmər xanımın yanına gəldi.			http://anl.az/el/a/aa_e.pdf	0	1	pending
03439883433b35afb55ea10fe974ef07ff6ce2ebe6d4a6be66779a35c1f03838	Alıyam, sözlərim safadır-safa,Dünya müxənnətdir, insan bivəfa.			http://anl.az/el/a/aa_e.pdf	1	0	pending
03d8185cae39480f2a6a70467eb28d3b5d1205d812dcd3d51e4b6d96641bc705	Alıyam, mətləbim veribdi xudam,Məğribdən məşriqə yayılıb sədam.			http://anl.az/el/a/aa_e.pdf	1	0	pending
0411f17d8c98207ab8a409068d79899e217511af0765c5ee256b46196609ab09	Birdən göyün üzüdumannan, çisəkdən elə tutuldu ku, göz-gözü görmədi.			http://anl.az/el/a/aa_e.pdf	0	1	pending
044d8509d9890583955a857cdbc267ad6f09c376479bc024d591e0d97080cc8f	Dağlardan ucadı o Ağrı dağı,Nə qədər dost tutdum Əsəddir sağı.			http://anl.az/el/a/aa_e.pdf	0	1	pending
045514dd206ddb209c0d14cea1eddd26db2fdca4ff99d181dbc753fcc5806848	Buralara da nabələdsən.			http://anl.az/el/a/aa_e.pdf	0	1	pending
046bb1e5aa13018741128788e22c498519f1a7a94f7079b5b35c4206053f37c0	Gah bas olan, gah da düşər ayağa,Kimsə varmaz bu fələknən başa-baş.			http://anl.az/el/a/aa_e.pdf	0	1	pending
047ed1e906cccf34714200cfe88b5f56943daa603766dd88f8485b3d4c9d5b07	baxbu dünyanı mən tərcümə eylədim,bu çərxi-gərdişin yollarına bax.			http://anl.az/el/a/aa_e.pdf	0	1	pending
04a429416c71add38e23dc7a42f065ef70da4fad549c8f7dc956988d47753dd8	Dedim: ay qız, əl uzadım butama,Özünü nüfuzdan salısan, - dedi.			http://anl.az/el/a/aa_e.pdf	0	2	rejected
04b604339df61850381ec091c46de9280b9debd3f157bb4669b3d8a692725981	O da gejəyə əməlli-başlı bir körpü atır.			http://anl.az/el/a/aa_e.pdf	0	1	pending
04c2ce4d7d6d0d90e7e9a1d5f2d86869c985ce42b550a9f1e0bcd733e10d7922	O vaxtdar gəlin atnan gəlirdi.			http://anl.az/el/a/aa_e.pdf	0	1	pending
04e5a4c5cea793cc529aac86185f2a3d3d01683377f440c8cdd45738508d246f	Bundan sonra dərdləriniz durulsun,Sürmələnsin gözü, qaşı dünyanın.			http://anl.az/el/a/aa_e.pdf	1	0	pending
05293bb8becba589d0b7c5ada9041bc7b7bfb3436fde9627fd506c62c5880a5e	Ah divanədi, orman dolanır,Gözəllər hüsnündə dərman dolanır.			http://anl.az/el/a/aa_e.pdf	0	0	pending
0538521496653278014cebdf90ff805714bd92d19cdde22bcbbbf9fe1c705fd3	Aşıx Alının üzü güldü.			http://anl.az/el/a/aa_e.pdf	0	0	pending
059055a1d3e15a4bb3989edbb64d1c80f46d61ead4c3bb2b2589c87fbae1fcf8	Bir azdan Əsmər xanım əlində iki kisəqızıl pulnan qayıdıf gəldi.			http://anl.az/el/a/aa_e.pdf	0	0	pending
05d26bc725c94916dd3a0e710e5cb4b8c36c0b3b90c0f96fdb75b7c969d5b58d	Zərzibil, Daşkörpü, Gəlin qayası,İstisudan bəri bizim el düşər.			http://anl.az/el/a/aa_e.pdf	0	0	pending
05d37506d0ad900a21727490429e354e048a75cef63775819bb413e62d92d9df	Mən aşıq qala-qala.			http://anl.az/el/a/aa_e.pdf	0	0	pending
05ddec091d5d385bbcf43f129a9eac2e41a5ebc237bf7156022d77c4798f0ea8	İmana, ilqara bahəm and içək,Taxtı-Süleymana vermərəm səni.			http://anl.az/el/a/aa_e.pdf	0	0	pending
05e337204103bd5a0b09ba1287c175c32133d9ceec216133cb39dc826c0fc2ea	Ucbatından qəhərlənib uçmuşam,Tənha qondu de budağa, soruşma.			http://anl.az/el/a/aa_e.pdf	0	0	pending
0602e51edddac03928e83723f8a4178f9827d46b8e52066094862b5133d27a1c	O gün olarmı ki, şad olub gülək,Sən əydin qəddimi, ay qoca fələk.			http://anl.az/el/a/aa_e.pdf	0	0	pending
060a71f2ebea37272589f1b55d348a24a991ec308604c384e863dbdc7471ef9c	Öz-özünə dedi:- Qansız adama oxşuyur.			http://anl.az/el/a/aa_e.pdf	0	0	pending
0654e0fbd4578294862c9d31118e0ee33737703b0785bf0f6d8e3f80d74d5f5b	Aman qasid, sən allahı sevirsən,Mənim ərzim o canana deginən.			http://anl.az/el/a/aa_e.pdf	0	0	pending
06623d09a5ae04cfb88db2e34e286af61bd64f4260e266015b39ed55ed339eae	Niftalı İmirziyi çox mərifətnən qarşıladı.			http://anl.az/el/a/aa_e.pdf	0	0	pending
0682a0780855a87bf6017ff89731a9c2419b8ba9872488cbb32eba2297072e8d	Dedim: xəstələrin can dərmanısan,Dedi: aşiqlərin kərəm kanısan.			http://anl.az/el/a/aa_e.pdf	0	0	pending
069784d8d8fe8ce56ce354d80a9e5731037a18dd9e02b4b462bd3dfcba3fde51	- Aaz, toya qan salarsan, aaz nə danışırsan?- Cəhənnəmə qan düşsün.			http://anl.az/el/a/aa_e.pdf	0	0	pending
06c3dfdbd0b2e685c4047795d124f55c7eda75c4174c8272f8438bfd269473bd	Bir ağac qırığı yoxuydu ku, qapının dalınasöyküyüf yatalar.			http://anl.az/el/a/aa_e.pdf	0	0	pending
0724b83e06d39f4f5f64ce7cdd83095d284c7deed1f9b10235b06bed958953e9	İmirzə kişi arvadına dedi:- Arvad, o farmaşın qoynundakı xançalı çıxart mana gəti.			http://anl.az/el/a/aa_e.pdf	0	0	pending
07787d447e535371a5df87cd59dc522482d955eebeda3dcb43a1fa0712cea525	görmədİmviranə bağlara mən oldum bağban,almasın, heyvasın, narın görmədim.			http://anl.az/el/a/aa_e.pdf	0	0	pending
07a5d9d210cee57d185244ed571e235160b0c8a6de4419f13417c3b895e0af30	Pulu dəstələyif saydı, sonra dəsmalın arasında qoydu.			http://anl.az/el/a/aa_e.pdf	0	0	pending
07bd706e60d269dc5dd973c8ec3926d1781492f79a47f5662d541c716bbb8dd1	Dədəmnən anamın söhbəti də bir-birinə yaman xoş gəlirdi.			http://anl.az/el/a/aa_e.pdf	0	0	pending
0830805abfca5d735a5b263613134a22f3c6c0acb0f250a9a5df0b20d8f57e13	Fərq eyləməz ya bahardı, ya qışdı,Müdam eylər işvə-nazı gözəllər.			http://anl.az/el/a/aa_e.pdf	0	0	pending
08ae04bc5690dd0bed2a3aa229f492b2aaec835cb8608e73425d4ae672765e6b	O zamannan elə kasıvıydıx ki, oğru içəri girsəydi, bircə süpürgədənbaşqa elinə bir şey keçməzdi.			http://anl.az/el/a/aa_e.pdf	0	0	pending
