client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
06f756dbbdc3a121d9127628f62c1c9133aac199258d87e3bf4c2ea6fafe01a47da5a0fa92d7f5d8e45ae5f89bf198c22a0384dbbefe27befc2b6d67a206b72f	common_voice_az_30644804.mp3	0160886cb15cd41fed5aa924538542d8a5c9518affee51d3c59f4df0ab5c5987	Eşq şeirlərindən əlavə din və təsəvvüf ilə bağlı şeirləri də vardır.		2	1					az	
17f0ad82074ee502d2cd68f2147657e36e29d52cc14b294228ae6f261fba911807c0bc12da27fbaf006eac2582bd16d0acbc497041acb5434177ec5a7c308c9d	common_voice_az_34229675.mp3	00965796619aee8cd4892c6ace18660bce0f951a925404b0ddf59040d434e947	Orta məktəbi bitirdikdən sonra Ukraynanın Lvov şəhərində hərbi xidmətdə olmuşdur.		2	0					az	
5b64658a939575c17925eada88fe9af2b1b94eee77d89ee0d1881635e5d28a67629a43f1dc1a024e9d6f71de04d96c4a8d25b319335a21148e4de0f7e5605efe	common_voice_az_43516603.mp3	02c607f457ce2bc435124abab37c093d4988057af4c89ae35ed05edd69ebd9bc	Hal hazırda Xəzər kanalında prodüser olaraq işinə davam edir.		2	0					az	
800821b956e085608292723543adb108d034f7651651b06bed11545d30360cecbe4b4b9a3ece1b524bceb271eefb555820b4a1bff0a2419a8be41cb00bc0c957	common_voice_az_42550087.mp3	03569929a1d2b647a54be0f4854dc5c0f018b09c7b4c28d21900b5135daf6ad6	Təpə Antarktidada yerləşən Start burnunun adını daşıyır.		2	0	thirties				az	
a30533571b74f87aaa4b0d5d356917899ed61d0f75247d78b793b6609c0636b715d4523d101d2c5568ef7cdbe5b4c4fabb7e3a685987c20be6fbae14951323b8	common_voice_az_32296128.mp3	0049e3b55ed7c096ac04868031a6b80962b7bd383f928cead8927b21a01388fc	Lənkəran şəhərində dəfn olunub.		2	0					az	
c97316f2870b649ca853e4cff402670819688635dc1b278ebf8c70105e1b46b567149ca4d9d46cc64452f77783e00c41e8e6f4694663104ee4974cab7ece5f59	common_voice_az_43107780.mp3	00aaaec628975438f9e0e898d923b7f41514e1fe192fe484f362f5296fd794f6	Onların qalıqlarına Çin və Özbəkistan ərazilərində aşkarlanmışdır.		2	0					az	
d21d6d86909cd6fdfde5cfcafc87387352c0912ff80b6d4100991abc56efc1b9867c9ba75061d5c8f7bbb538a900a5459b9daf967e382364d07f2f7d7691ffde	common_voice_az_41030974.mp3	02db63d745ec09971708e1c5f2a6a5ec257ea7bec8eab7371cf5942e236ea4db	Ətrafdakı ərazilərlə müqayisədə dumanlı və qar örtüyü olan günlərin sayı daha çoxdur.		2	0					az	
facb8ad2110b8c164cdbef617ed1ab96e2fe8861c1f02bc4e6fb606caf7bf91964fe912853185730bc5acb10568b7e73aa6b0c74c7e0f2d70e3a111d71ab0f0a	common_voice_az_41232414.mp3	0316b0aa9ed162b106d1714a5f5d51695f0f2e1af8dbb386708e4bfcffcf5759	Yeni Azərbaycan Partiyasının fəal üzvüdür.		2	1					az	
07a851ed6d3225a0d28796bf2583a4c3561bd9ec0a28d68a12736ca3f4f57e567ec6e652fcd4a50a355b7716f0a12b1da2201d3dd75b1ceb57083912e5c50636	common_voice_az_28841680.mp3	00f9ce09d2a5418a98493b93c068ccff1048eadf812df44904a68e9180236030	Qədim alban tarixinin izləri bu ərazidə bir çox yerlərdə var.		2	0	fourties	male_masculine			az	
07a851ed6d3225a0d28796bf2583a4c3561bd9ec0a28d68a12736ca3f4f57e567ec6e652fcd4a50a355b7716f0a12b1da2201d3dd75b1ceb57083912e5c50636	common_voice_az_28841731.mp3	0178f176a762d9990ad558acc81a178b2a9a12220595b003e121baa967f620e5	Kəndin yerində müasir qəsəbənin inşası planlaşdırılırdı.		2	1	fourties	male_masculine			az	
16f7e06e5fdc4d18cb8eeea0e4eb8aa7c67711314281ac948a6be88b5ef3cbdd235110389cacf258d3bc50d8a21e9d8a3af7a5de66cb5c57403a828e2379dd0e	common_voice_az_42351935.mp3	03520b1858bee8d90ee3624d32fff43ab0865c7ff3f9cfffa114c0e9dc7264b0	Sakinlər tarixi abidələrə çox həssaslıqla yanaşırlar.		2	0					az	
16f7e06e5fdc4d18cb8eeea0e4eb8aa7c67711314281ac948a6be88b5ef3cbdd235110389cacf258d3bc50d8a21e9d8a3af7a5de66cb5c57403a828e2379dd0e	common_voice_az_42351936.mp3	025c58c0bb0f63cf54e15df678197680c4b210576e063008ab27bc975f9db6d8	Rusiyaya qayıtdıqdan sonra teatr və kino sahəsində çalışmışdır.		2	0					az	
7f4dbd32b785e51dd1eae60633c735b9b9cccb9c8b1b9619bb99c4e4f3ef4913363b46966429a575e4eb9d35c083464a7b06be1ff56d686dd2a992235e0d4356	common_voice_az_37445600.mp3	006686998c096a95fd4ab866000cc29a1e771796ba106ab851cac13d59df9c34	Papanın xahişini qəbul edən Attila geri döndü.		2	0					az	
7f4dbd32b785e51dd1eae60633c735b9b9cccb9c8b1b9619bb99c4e4f3ef4913363b46966429a575e4eb9d35c083464a7b06be1ff56d686dd2a992235e0d4356	common_voice_az_37445601.mp3	01ffccd2e97626e7e7f3881f6ca3cf54738fe1490330741852c725d6305742ef	İdman həyatı başa çatdıqdan sonra Torpe ailəsini saxlamaq üçün çalışmışdır.		2	0					az	
864e496ec7e729fa4faab282c29ff28af79996d0d79dfaf352bfa0d0c1b92824fdca3c963e7c5524bf2cdb9493ab0503691fc43be18a3fae9b13f9c44319cfa5	common_voice_az_30651706.mp3	0039fea38ee57dcbab3a9a1dea2173fbd29d73a5d585fd49f3dfa4e79a1a0ec2	Jurnalistlər hekayələrinin əyləncəli hala gəlməsinə səbəb olan müəyyən bir məsələdə faktlar ata bilərlər.		2	0					az	
864e496ec7e729fa4faab282c29ff28af79996d0d79dfaf352bfa0d0c1b92824fdca3c963e7c5524bf2cdb9493ab0503691fc43be18a3fae9b13f9c44319cfa5	common_voice_az_30651707.mp3	01906741893ae80d7dc4905b858d86ae2a386d25b0005519e95477e68a0469e2	Onu Ran Min adlı qardaşlığı öldürmüşdü.		2	0					az	
