sentence_id	sentence	variant	sentence_domain	source	is_used	clips_count
00003eef1fb31edf63f73fee464cac139cca9f4ea15c045c3635548943a9bd7e	Suyun təmizlənməsində iştirak edir.			wiki	1	0
0000f9ffb0965a0c50110e5e1f3d54ce8dfaa64bd35a81e5494adbc5c458a3c3	Buranı keçmişdə iki dəfə sel aparıb.			wiki	1	0
00048eefd4cd34397f38f7b27281243090fe196f674ab5193a55e4f24bc8ab05	Kənd Əhməd adlı bəyin adı ilə adlandırılmışdır.			wiki	1	0
0004afd69e2db8b7db8dadf877684d426d9fe80ba9baf523689d6b6ccb4e4162	Hindistan və Nepal sularında yaşayır.			wiki	1	0
0005a2bd3c2bb4621c53756c117036ef716758aab9a0b0288b1aa70c2e834089	Onlardan biri yerindəcə həlak olub.			wiki	1	0
000690778012d9711589b0e25bef18d5a8738ce5aa010119ce6264f0e68fc2ed	Aşağı Bucaq Yevlax rayonunun eyniadlı inzibati ərazi vahidində kənd.			wiki	1	0
0006c5f2e2c32db8b23dd25ca5304749b081fbfb95faa10a308f06bd305540cd	Təpənin yuxarı hissəsi dördkünc formalı divarla əhatə olunmuşdur.			wiki	1	0
000cca31bf1166c6cf913a1292779cb93606639d4a3801e56651a139129b6c87	Lakin onun hakimiyyəti nominal olaraq qaldı.			wiki	1	0
000f42ca9cb23a8e8cc0f0f9dd1820a67c0fcbb9c833a5e601c27242795b3176	Ardından saray xidmətinə alındı və saray anbarında çavuş vəzifəsində xidmət etdi.			wiki	1	0
001ef1608695a57fcbe102b34a6af3b64f281b030bf7b839a37b90e1b70775d0	Bilirdi ki, Hajı belə şeylərdən inciyən adamdı.			http://anl.az/el/a/aa_e.pdf	1	0
001f012d4b7f47e38d99b4840face238e0b0a341a51a1dc1f3fc1021b513881d	Həmin il Təhsil Nazirliyinin sərəncamı ilə Xarici Dillər İnstitutuna İngilis dili müəllimi təyin edilmişdir.			wiki	1	0
002454e338b555dc4fbede3c1c3865cecfbd84044215cefb0fb346ece31463db	Bilinməyən səbəblərdən bina tamamən dağıdılmışdır.			wiki	1	0
00278b8ae1b7839a44e8eac8dfb9828d1e6123db9e5908c38739296c13100841	Əsli Əxi Sufi.			wiki	1	0
003c3d36d7e6ae9fe3ea339212fa893d60394b91de9f4f3dc6b4214b7565e885	Əsərin farsca hansı əsərin tərcümə olduğu bəlli deyil.			wiki	1	0
003d9915a7edbcc5b199da0d40de97704517c71e51eb453555f5ac57f85e31d7	Ətrafı iri həcmli yonulmamış daşlardan hörülmüş divarla əhatə edilmişdir.			wiki	1	0
003f72096742f934abe44af7a5d96a94eea9602209193cbe04bf4ed6fa85dca8	Şəhər öz gözəlliyi ilə turistləri də özünə cəlb edir.			wiki	1	0
004327d31454725007a029e956d98cc6e27919db9f68ae489cffea73b58671d4	Cudi Oskar mükafatına namizəd göstərilmişdir.			wiki	1	0
00475a785c7829a7c181a7e367a1e35e3cc7aec33a0471271a31be358a077b05	Uşaqlığını Florida ştatının Melburn şəhərində keçirmişdir.			wiki	1	0
004875d70e811b5a2023862a9d8c195484693de6f7d0bccf2dc2b7a39511385a	Qısa davam etdikləri üçün də gecə ilə gündüz arasındakı temperatur fərqi çox azdır.			wiki	1	0
0048d66b03d8d88f916450d5404e5d9483ace9b9ed04ec322fe920fb10a11313	Bir hissəsi olduğu kilsə və kilsə kompleksi Avstriya qanunlarına əsasən Qorunan Abidə statusunu almışdır.			wiki	1	0
004e858bf3349b9e46052bd9b675a06d8a484e7edca664e4e9591f06268a7d30	Arada iki il əsgəri xidmətini keçib.			wiki	1	0
004efc8ff372b9e7b0a74368a4545c8442acb5e4055f97719186ea9caf2e8a7b	Buranın pir olması barədə dəqiq məlumat yoxdur.			wiki	1	0
0052efb55511aedd7bd36cceeb86fb07a9fd99669d396341faace2d7a714b370	Bu isə nəqliyyatın daha asan idarə olunması və onlayn təchizatının qurulması üçün çox əlverişlidir.			wiki	1	0
005b8477b1f20e27ef7930748b1b731a983eef744fe74f8256cf4f53bf8e1106	Bu mərhələdə ölkələr iki qrupa bölünür.			wiki	1	0
006203106405e2c778d0749527544285cb4da0432cc55a3c4d81880c55ce3b4f	Divarlar qaya parçalarından gil məhlulu istifadə olunmaqla inşa olunmuşdur.			wiki	1	0
006783820551758c50dab8d7eda7659995c522be9c0b80da73c393c165a850d3	Yaponiyada yüksək səviyyəli təhsil hər bir şəxsin gələcək uğurlarına zəmanət hesab olunur.			wiki	1	0
0070f348835c8650b5abc990c3462086776e820b797aae99060df47a4183a82f	Rusiya və Avstriya elmlər akademiyasının üzvüdür.			wiki	1	0
007379b5a2391acf4bd046c07b2066a1af86a48a331d1c89484372ab0ace2798	Mərkəzi qərargahı Minsk şəhərində yerləşir.			wiki	1	0
00770b1d2ae59268a0c7f6a160cb77de977a28e633e8e3fae7e6386f7961ed95	Körfəzə Ana Kür çayı axır.			wiki	1	0
007be8c495fa8918dbfcff9492fd9a0d783bb89f901998f0f396eb5f2fab4bd0	Təşkilatın adı üzv ölkələrin adlarının ingilis dilindəki baş hərflərindən əmələ gəlir.			wiki	1	0
0082eb8fcc9fc8bb78968b9c30f9e01fa4bd8dc7ba0412d52c1140cc7408e851	Bu yüksək mükafatı kollektivə respublikanın rəhbəri Heydər Əliyev özü şəxsən təqdim etdi.			wiki	1	0
008ba5a49d3f6108649d70c7cf4a5e592141fe922df0295fa71d3eef84cef5a2	Azərbaycanda bir milyondan artıq qaçqın və məcburi köçkün yarandı.			wiki	1	0
008fadbec797464d261a39d8f23a0ac14e41c8309a9774ffc02539c2933f4abf	Bu səbəbdən o yenidən bərpa edilmir.			wiki	1	0
00947105863a6b9f5d9145d185b878a2bf7270e08849af2859df48e671a2d498	Adanın cənub tərəfində inşa olunmuş kilsə memarlıq baxımından Orta əsr erməni memarlığını təmsil edir.			wiki	1	0
009487d75092095ed8c62627b4e2b7ecb5ffbc3e4ffdb87f1c6ebec418444821	Anbar qlobal olduğundan onun dil prinsipinə əsasən bölünməsi vacib deyildir.			wiki	1	0
009929bf91623eb873639dbbfecf12d98b3a8d9aee6c3627d6a66bf74126dfc6	Həmin aktyorlar səsli filmlərin yaradılmasından sonra Qərbə cəlb olunmuşdular.			wiki	1	0
009c17a36bb6255801a8129d81b1ddd795785dfebec5c120db8edd7b37d0c225	Bundan başqa Səfiəddin həm də istedadlı bəstəkar idi.			wiki	1	0
00a1768201dad4bd3e1f6fa97f0e950cab44730a65f9d7d809d11c5f6c545e74	Maralın cənubunda Dir buxtası yerləşir.			wiki	1	0
00b214f1a9cc0b1dc6c5c91c36dc3dcfc364a7426ab4d321b878522bc5652420	Həyat tərzi ətraflı öyrənilmişdir.			wiki	1	0
00b73f4019e128de346ad29febc13a8e98ae25ef3c5ed36be3da7142d945c0e8	"Oykonim ""çinar ağacı ilə zəngin"" deməkdir."			wiki	1	0
00c1212e9ca747cdca261ba92316a96ca39f51a787e4e6a6649c5998116008fa	Onlar kimyəvi və termiki sabitdir.			wiki	1	0
00d72c69c9d24ea8cbcfe24cf6551efa62e343a751b21b34212648ac370302f3	Sovet İttifaqı Qəhrəmanı Mehdi Hüseynzadənin bacısı Bikə xanımın oğludur.			wiki	1	0
