client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729339.mp3	00898b1b618d917ca417dcbb1ebb8325bc75fd8d1470d725b80f5497efce00c6	Məqbərənin yaxınlığında ölməz şairin yaratdığı əsərləri tərənnüm edən tuncdan abidə yerləşir.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729340.mp3	01e79604ee954f6a1482dac857ab6ca9cbf8663d0d037b2ce83bcadc23c70a4e	Havada kristallaşma suyunu tədricən itirir.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729341.mp3	013ad20781d859b83e81e668b6702af92385ccf8bcaf19761701092d8b86807d	Bir çox uşaq televiziya proqramlarında aparıcı kimi çıxış edib.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729342.mp3	0000aafac92f4b82c519d7f3af0131770a7dafa160e5c5a530132f6d0e3029a4	Xəzri zamanı Bakı və Sumqayıt şəhərlərinin havası zərərli qaz və tüstüdən təmizlənir.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729343.mp3	01d71a7233c21636509b71947f8eee2171ff7ba985e73941e98145be40c83074	Böyük İpək yolunun bir qolu oradan keçirdi.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729344.mp3	007f966ea373253c9acf67282e9521aa38b955260dfc9b01d150ed2e4cb55f3c	Etiqad haqqında.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729345.mp3	016dc8a95a2294819ee780369224133f0e8aec171d230f53b48dd8f61928dc85	Bu dildə yazılan proqram az yer tutur və tez yerinə yetirilir.		2	1	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729346.mp3	00a69a5bfa11f03980ca868c49baa2ee916bf5a34caeafe32c15582062b068bf	Yataqxana Minsk şəhərinin mərkəzində yerləşir.		2	1	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729348.mp3	005e94a5cf3eff4220cb1bcdbb326125d0de00be4d02c00bbfb1a06731fb09b1	Tarixən Azərbaycana gələn səyyahlar və tacirlər də buradan özləri ilə xalça aparmışlar.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729350.mp3	01e30b472f3b09d01ff674801cf87fd34596c0d56f4a020b0b38cb77d67b9a68	Yeni birliyə nəzarət Türkmənistanın Mədəniyyət və Televiziya nazirliyinə tapşırılır.		2	1	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729351.mp3	01c5aa4d5dcc9f8714ce70999202c9d13354b7ef4cecfe20950aff84a9186eb7	Düşərgədə həlak oldu.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729352.mp3	01b29e7b8af97a00271dd5e5113681c3ad019b633a087b4ec7399eced613f526	Birinci böyük ibadət zalı.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729353.mp3	01e5cdb731883047840ef25625f89975aaac2c61149014cc3335e106ebe6217e	Ailənin üç oğlu var.		2	1	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729354.mp3	0117108db14eddb172a9dbb70ad8fa15c203d70f63cb3f64ae4f4660bb5b5363	Teymur ona qarşı olmuş hücumların bir çoxuna rəhbərlik etmişdir.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729355.mp3	01172782860ef77975a41bf4a5abc04a585cc2ca4527d1ea902d2abe258cff8a	Kəndin relyefi dağlıqdır.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729356.mp3	01a2994cda843ee7d0500302b74237640bae58e0f18bb2a1f51e0f55440a7061	Səsin əks olunmasından naviqasiya işlərində də istifadə olunur.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729357.mp3	01765a9a492861c51fa478830bfe85e97aee8fe2e732cd5a264be07bc96c87b9	Belarus milli futbol komandasına namizəd sayılır.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729358.mp3	009384325fcf2929c517fc334abb5c38f7d6b6a8d3576816ac6bfc9314e66a11	El Arslanın hakimiyyəti Böyük Səlcuq Dövlətinin hökmdarı Sultanı Səncər tərəfindən də tanındı.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729359.mp3	01fac96f937277b6df1404d8dc77a2f14893254c1af63f78d67664ba3e3186a3	İnqilabdan sonra asılmışdır.		2	1	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729360.mp3	00529ceceb0dccf6580dcbb21720df7b6743b30d9014844640b9c88435ae1d00	Dərisi hamardır.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729362.mp3	015b81195d6247edb1dcafa418ae1e9fdb38cde3d8315fcedc3d6d399a7083e1	Böyük ədədlər arasında sadə ədədi tapmaq üçün böyük sayda hesablama əməliyyatı həyata keçirmək lazımdır.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729369.mp3	0173834e5919db18167b16536873fc1a9c154ebc1efed24fee6a13f1d956d2b2	Su təminatı çaydan çəkilmiş saxsı borular vasitəsiylə həyata keçirilirdi.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729371.mp3	00204670a7950a86f458984f369a7af50be0135fa7c3358711d67695bb5e86ad	Onlarla və yüzlərlə fərddən ibarət dəstələrə rast gəlinir.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729373.mp3	0199dbef15aba92215f1868c16cfe49458bc92de40a171f67f2cc8f0c5a730d2	Bakı Kooperativ Texnikumunda təhsilini başa vurmuşdur.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729375.mp3	01d4ebd420907f8d2ff27ecdf45f46393de6840c903afb5d07c1c0a200413682	Keçmiş adı Qəhrəmanlı olmuşdur.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729376.mp3	0150e8b443b83cf025406329eebe3c1ee9a484a59ac44fd98f48b65f86490b17	Bu kitabla bağlı maraqlı bir fakt vardır.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729379.mp3	00bb4b05be9a8853f3c738b9987b0e365888f15754195de6d12baec99e896d80	İldə iki nəsil verir.		2	0	thirties	male_masculine			az	
b5e32070e1d21acf4a2cf3a54c4d5095b0c18104777da59fee07d593f0907d7fa91dc67ac634f2ebdd2395fa803dd12f3f817631be16d7f51dd27078321c10e9	common_voice_az_36729380.mp3	001d283c3823ef2e0c64e9cebca8ec99a4d795fcdefaae28629441487395a365	Yayda yağın nadir hallarda yağır.		2	0	thirties	male_masculine			az	
